,AA,CC,Id,Ti,Y,authors,logprob,paper
96,"[{'AfId': 1341640284, 'AuN': 'wouter m koolen', 'AfN': 'centrum wiskunde informatica', 'AuId': 2004861503}]",9,2295664092,the pareto regret frontier,2013,['Wouter M. Koolen'],-20.99,The Pareto Regret Frontier
97,"[{'AfId': 19648265, 'AuN': 'shaodan zhai', 'AfN': 'wright state university', 'AuId': 2148838363}, {'AfId': 19648265, 'AuN': 'tian xia', 'AfN': 'wright state university', 'AuId': 2304900629}, {'AfId': 19648265, 'AuN': 'ming tan', 'AfN': 'wright state university', 'AuId': 2258895517}, {'AfId': 19648265, 'AuN': 'shaojun wang', 'AfN': 'wright state university', 'AuId': 2167395975}]",8,2109687783,direct 0 1 loss minimization and margin maximization with boosting,2013,"['Shaodan Zhai', 'Tian Xia', 'Ming Tan', 'Shaojun Wang']",-20.811,Direct 0-1 Loss Minimization and Margin Maximization with Boosting
98,"[{'AfId': 79891267, 'AuN': 'asrar ahmed', 'AfN': 'singapore management university', 'AuId': 2614527376}, {'AfId': 79891267, 'AuN': 'pradeep varakantham', 'AfN': 'singapore management university', 'AuId': 691772685}, {'AfId': 63966007, 'AuN': 'yossiri adulyasak', 'AfN': 'massachusetts institute of technology', 'AuId': 304744359}, {'AfId': 63966007, 'AuN': 'patrick jaillet', 'AfN': 'massachusetts institute of technology', 'AuId': 1812487863}]",9,2161534526,regret based robust solutions for uncertain markov decision processes,2013,"['Asrar Ahmed', 'Pradeep Varakantham', 'Yossiri Adulyasak', 'Patrick Jaillet']",-20.405,Regret based Robust Solutions for Uncertain Markov Decision Processes
99,"[{'AfId': 135310074, 'AuN': 'chris hinrichs', 'AfN': 'university of wisconsin madison', 'AuId': 1993590172}, {'AfId': 135310074, 'AuN': 'vamsi k ithapu', 'AfN': 'university of wisconsin madison', 'AuId': 2086922428}, {'AfId': 135310074, 'AuN': 'qinyuan sun', 'AfN': 'university of wisconsin madison', 'AuId': 2565453507}, {'AfId': 135310074, 'AuN': 'sterling c johnson', 'AfN': 'university of wisconsin madison', 'AuId': 2119564869}, {'AfId': 135310074, 'AuN': 'vikas singh', 'AfN': 'university of wisconsin madison', 'AuId': 2096225073}]",3,2167413488,speeding up permutation testing in neuroimaging,2013,"['Chris Hinrichs', 'Vamsi K. Ithapu', 'Qinyuan Sun', 'Sterling C. Johnson', 'Vikas Singh']",-21.346,Speeding up Permutation Testing in Neuroimaging
100,"[{'AfId': 70931966, 'AuN': 'yoshua bengio', 'AfN': 'universite de montreal', 'AuId': 161269817}, {'AfId': 70931966, 'AuN': 'li yao', 'AfN': 'universite de montreal', 'AuId': 2127602766}, {'AfId': 70931966, 'AuN': 'guillaume alain', 'AfN': 'universite de montreal', 'AuId': 2170255565}, {'AfId': 70931966, 'AuN': 'pascal vincent', 'AfN': 'universite de montreal', 'AuId': 2397241174}]",221,2134842679,generalized denoising auto encoders as generative models,2013,"['Yoshua Bengio', 'Li Yao', 'Guillaume Alain', 'Pascal Vincent']",-17.925,Generalized Denoising Auto-Encoders as Generative Models
101,"[{'AfId': 170897317, 'AuN': 'pablo sprechmann', 'AfN': 'duke university', 'AuId': 2007031271}, {'AfId': 16391192, 'AuN': 'roee litman', 'AfN': 'tel aviv university', 'AuId': 2163981432}, {'AfId': 16391192, 'AuN': 'tal ben yakar', 'AfN': 'tel aviv university', 'AuId': 2060614522}, {'AfId': 16391192, 'AuN': 'alexander m bronstein', 'AfN': 'tel aviv university', 'AuId': 1967999909}, {'AfId': 170897317, 'AuN': 'guillermo sapiro', 'AfN': 'duke university', 'AuId': 2114921128}]",17,2162221686,supervised sparse analysis and synthesis operators,2013,"['Pablo Sprechmann', 'Roee Litman', 'Tal Ben Yakar', 'Alexander M. Bronstein', 'Guillermo Sapiro']",-20.019,Supervised Sparse Analysis and Synthesis Operators
102,"[{'AfId': 911821948, 'AuN': 'ryosuke matsushita', 'AfN': 'ntt data', 'AuId': 2551644208}, {'AfId': 22299242, 'AuN': 'toshiyuki tanaka', 'AfN': 'kyoto university', 'AuId': 2118015058}]",9,2097538064,low rank matrix reconstruction and clustering via approximate message passing,2013,"['Ryosuke Matsushita', 'Toshiyuki Tanaka']",-20.688,Low-rank matrix reconstruction and clustering via approximate message passing
103,"[{'AfId': 97018004, 'AuN': 'richard socher', 'AfN': 'stanford university', 'AuId': 1964982643}, {'AfId': 97018004, 'AuN': 'danqi chen', 'AfN': 'stanford university', 'AuId': 2104844286}, {'AfId': 97018004, 'AuN': 'christopher d manning', 'AfN': 'stanford university', 'AuId': 2149153931}, {'AfId': 97018004, 'AuN': 'andrew y ng', 'AfN': 'stanford university', 'AuId': 2104401652}]",568,2127426251,reasoning with neural tensor networks for knowledge base completion,2013,"['Richard Socher', 'Danqi Chen', 'Christopher D. Manning', 'Andrew Ng']",-17.018,Reasoning With Neural Tensor Networks for Knowledge Base Completion
104,"[{'AfId': 97018004, 'AuN': 'richard socher', 'AfN': 'stanford university', 'AuId': 1964982643}, {'AfId': 97018004, 'AuN': 'milind ganjoo', 'AfN': 'stanford university', 'AuId': 1979728579}, {'AfId': 97018004, 'AuN': 'christopher d manning', 'AfN': 'stanford university', 'AuId': 2149153931}, {'AfId': 97018004, 'AuN': 'andrew y ng', 'AfN': 'stanford university', 'AuId': 2104401652}]",384,2124033848,zero shot learning through cross modal transfer,2013,"['Richard Socher', 'Milind Ganjoo', 'Christopher D. Manning', 'Andrew Ng']",-17.564,Zero-Shot Learning Through Cross-Modal Transfer
105,"[{'AuN': 'mohsen bayai', 'AuId': 2260444034}, {'AfId': 97018004, 'AuN': 'murat a erdogdu', 'AfN': 'stanford university', 'AuId': 2222747345}, {'AfId': 97018004, 'AuN': 'andrea montanari', 'AfN': 'stanford university', 'AuId': 2338117446}]",12,2271626458,estimating lasso risk and noise level,2015,"['Mohsen Bayati', 'Murat A. Erdogdu', 'Andrea Montanari']",-20.269,Estimating LASSO Risk and Noise Level
106,"[{'AfId': 79576946, 'AuN': 'david weiss', 'AfN': 'university of pennsylvania', 'AuId': 2125377479}, {'AfId': 201448701, 'AuN': 'ben taskar', 'AfN': 'university of washington', 'AuId': 2192679303}]",20,2108599331,learning adaptive value of information for structured prediction,2013,"['David J. Weiss', 'Ben Taskar']",-20.143,Learning Adaptive Value of Information for Structured Prediction
107,"[{'AfId': 27804330, 'AuN': 'dae il kim', 'AfN': 'brown university', 'AuId': 2518313472}, {'AfId': 20089843, 'AuN': 'prem gopalan', 'AfN': 'princeton university', 'AuId': 2001425411}, {'AfId': 20089843, 'AuN': 'david m blei', 'AfN': 'princeton university', 'AuId': 2289542319}, {'AfId': 27804330, 'AuN': 'erik b sudderth', 'AfN': 'brown university', 'AuId': 198699297}]",14,2164773304,efficient online inference for bayesian nonparametric relational models,2013,"['Dae Il Kim', 'Prem K. Gopalan', 'David Blei', 'Erik Sudderth']",-20.015,Efficient Online Inference for Bayesian Nonparametric Relational Models
108,"[{'AfId': 98677209, 'AuN': 'botond cseke', 'AfN': 'university of edinburgh', 'AuId': 1812361008}, {'AfId': 4577782, 'AuN': 'manfred opper', 'AfN': 'technical university of berlin', 'AuId': 1624046946}, {'AfId': 98677209, 'AuN': 'guido sanguinetti', 'AfN': 'university of edinburgh', 'AuId': 2153799420}]",6,2117804315,approximate inference in latent gaussian markov models from continuous time observations,2013,"['Botond Cseke', 'Manfred Opper', 'Guido Sanguinetti']",-20.897,Approximate inference in latent Gaussian-Markov models from continuous time observations
109,"[{'AfId': 87216513, 'AuN': 'lijun zhang', 'AfN': 'michigan state university', 'AuId': 2276088550}, {'AfId': 87216513, 'AuN': 'mehrdad mahdavi', 'AfN': 'michigan state university', 'AuId': 2147539308}, {'AfId': 87216513, 'AuN': 'rong jin', 'AfN': 'michigan state university', 'AuId': 2142724104}]",68,2098741260,linear convergence with condition number independent access of full gradients,2013,"['Lijun Zhang', 'Mehrdad Mahdavi', 'Rong Jin']",-19.257,Linear Convergence with Condition Number Independent Access of Full Gradients
110,"[{'AfId': 74775410, 'AuN': 'divyanshu vats', 'AfN': 'rice university', 'AuId': 1986654755}, {'AfId': 74775410, 'AuN': 'richard g baraniuk', 'AfN': 'rice university', 'AuId': 2040939885}]",3,2113254621,when in doubt swap high dimensional sparse recovery from correlated measurements,2013,"['Divyanshu Vats', 'Richard Baraniuk']",-20.859,"When in Doubt, SWAP: High-Dimensional Sparse Recovery from Correlated Measurements"
111,"[{'AfId': 97018004, 'AuN': 'raif m rustamov', 'AfN': 'stanford university', 'AuId': 2135281091}, {'AfId': 97018004, 'AuN': 'leonidas j guibas', 'AfN': 'stanford university', 'AuId': 356043702}]",25,2121244641,wavelets on graphs via deep learning,2013,"['Raif Rustamov', 'Leonidas J. Guibas']",-19.66,Wavelets on Graphs via Deep Learning
112,"[{'AfId': 4577782, 'AuN': 'wojciech samek', 'AfN': 'technical university of berlin', 'AuId': 1973162899}, {'AfId': 4577782, 'AuN': 'duncan a j blythe', 'AfN': 'technical university of berlin', 'AuId': 2420433332}, {'AfId': 197347611, 'AuN': 'klausrobert muller', 'AfN': 'korea university', 'AuId': 2012736320}, {'AfId': 4923324, 'AuN': 'motoaki kawanabe', 'AfN': 'fraunhofer society', 'AuId': 2072849696}]",19,2163710753,robust spatial filtering with beta divergence,2013,"['Wojciech Samek', 'Duncan Blythe', 'Klaus-Robert Müller', 'Motoaki Kawanabe']",-20.06,Robust Spatial Filtering with Beta Divergence
113,"[{'AfId': 142476485, 'AuN': 'fajwel fogel', 'AfN': 'ecole polytechnique', 'AuId': 2165547555}, {'AfId': 1326498283, 'AuN': 'rodolphe jenatton', 'AfN': 'french institute for research in computer science and automation', 'AuId': 90224947}, {'AfId': 29607241, 'AuN': 'francis r bach', 'AfN': 'ecole normale superieure', 'AuId': 2121310506}, {'AfId': 29607241, 'AuN': 'alexandre daspremont', 'AfN': 'ecole normale superieure', 'AuId': 72441953}]",28,1949523763,convex relaxations for permutation problems,2015,"['Fajwel Fogel', 'Rodolphe Jenatton', 'Francis Bach', ""Alexandre D'Aspremont""]",-19.669,Convex Relaxations for Permutation Problems
114,"[{'AfId': 35440088, 'AuN': 'josip djolonga', 'AfN': 'eth zurich', 'AuId': 34490060}, {'AfId': 35440088, 'AuN': 'andreas krause', 'AfN': 'eth zurich', 'AuId': 2165121431}, {'AfId': 5124864, 'AuN': 'volkan cevher', 'AfN': 'ecole polytechnique federale de lausanne', 'AuId': 162253719}]",71,2156375221,high dimensional gaussian process bandits,2013,"['Josip Djolonga', 'Andreas Krause', 'Volkan Cevher']",-19.379,High-Dimensional Gaussian Process Bandits
115,"[{'AfId': 97018004, 'AuN': 'subhaneil lahiri', 'AfN': 'stanford university', 'AuId': 2565012036}, {'AfId': 97018004, 'AuN': 'surya ganguli', 'AfN': 'stanford university', 'AuId': 2275320817}]",18,2110563098,a memory frontier for complex synapses,2013,"['Subhaneil Lahiri', 'Surya Ganguli']",-20.417,A memory frontier for complex synapses
116,"[{'AfId': 97018004, 'AuN': 'tim roughgarden', 'AfN': 'stanford university', 'AuId': 125590419}, {'AfId': 79576946, 'AuN': 'michael j kearns', 'AfN': 'university of pennsylvania', 'AuId': 2118586410}]",6,2123589260,marginals to models reducibility,2013,"['Tim Roughgarden', 'Michael Kearns']",-20.568,Marginals-to-Models Reducibility
117,"[{'AfId': 99464096, 'AuN': 'nima taghipour', 'AfN': 'katholieke universiteit leuven', 'AuId': 2107616711}, {'AfId': 99464096, 'AuN': 'jesse davis', 'AfN': 'katholieke universiteit leuven', 'AuId': 2144802550}, {'AfId': 99464096, 'AuN': 'hendrik blockeel', 'AfN': 'katholieke universiteit leuven', 'AuId': 2049189351}]",7,2137820498,first order decomposition trees,2013,"['Nima Taghipour', 'Jesse Davis', 'Hendrik Blockeel']",-20.991,First-order Decomposition Trees
118,"[{'AfId': 40120149, 'AuN': 'fabian l wauthier', 'AfN': 'university of oxford', 'AuId': 1762337056}, {'AfId': 1290206253, 'AuN': 'nebojsa jojic', 'AfN': 'microsoft', 'AuId': 2092023269}, {'AfId': 95457486, 'AuN': 'michael i jordan', 'AfN': 'university of california berkeley', 'AuId': 2435751034}]",10,2158471709,a comparative framework for preconditioned lasso algorithms,2013,"['Fabian L. Wauthier', 'Nebojsa Jojic', 'Michael I. Jordan']",-19.959,A Comparative Framework for Preconditioned Lasso Algorithms
119,"[{'AfId': 55732556, 'AuN': 'jie wang', 'AfN': 'arizona state university', 'AuId': 2471893859}, {'AfId': 55732556, 'AuN': 'jiayu zhou', 'AfN': 'arizona state university', 'AuId': 2097879502}, {'AfId': 55732556, 'AuN': 'peter wonka', 'AfN': 'arizona state university', 'AuId': 729125449}, {'AfId': 55732556, 'AuN': 'jieping ye', 'AfN': 'arizona state university', 'AuId': 2305258894}]",72,2618956670,lasso screening rules via dual polytope projection,2013,"['Jie Wang', 'Jiayu Zhou', 'Peter Wonka', 'Jieping Ye']",-19.31,Lasso Screening Rules via Dual Polytope Projection
120,"[{'AfId': 66946132, 'AuN': 'yuening hu', 'AfN': 'university of maryland college park', 'AuId': 2134853736}, {'AfId': 66946132, 'AuN': 'jordan l boydgraber', 'AfN': 'university of maryland college park', 'AuId': 337671685}, {'AfId': 66946132, 'AuN': 'hal daume', 'AfN': 'university of maryland college park', 'AuId': 1204061966}, {'AfId': 1312222531, 'AuN': 'z irene ying', 'AfN': 'agricultural research service', 'AuId': 2674186265}]",5,2169923060,binary to bushy bayesian hierarchical clustering with the beta coalescent,2013,"['Yuening Hu', 'Jordan L. Boyd-Graber', 'Hal Daume III', 'Z. Irene Ying']",-20.999,Binary to Bushy: Bayesian Hierarchical Clustering with the Beta Coalescent
121,"[{'AfId': 63966007, 'AuN': 'george h chen', 'AfN': 'massachusetts institute of technology', 'AuId': 2159581955}, {'AfId': 113979032, 'AuN': 'stanislav nikolov', 'AfN': 'twitter', 'AuId': 2549484222}, {'AfId': 63966007, 'AuN': 'devavrat shah', 'AfN': 'massachusetts institute of technology', 'AuId': 2155470367}]",21,2144305663,a latent source model for nonparametric time series classification,2013,"['George H. Chen', 'Stanislav Nikolov', 'Devavrat Shah']",-19.702,A Latent Source Model for Nonparametric Time Series Classification
122,"[{'AfId': 185261750, 'AuN': 'yanshuai cao', 'AfN': 'university of toronto', 'AuId': 2153618501}, {'AfId': 185261750, 'AuN': 'marcus a brubaker', 'AfN': 'university of toronto', 'AuId': 1994464961}, {'AfId': 185261750, 'AuN': 'david j fleet', 'AfN': 'university of toronto', 'AuId': 2157904231}, {'AfId': 185261750, 'AuN': 'aaron hertzmann', 'AfN': 'university of toronto', 'AuId': 1965004193}]",15,2144533338,efficient optimization for sparse gaussian process regression,2015,"['Yanshuai Cao', 'Marcus A. Brubaker', 'David J. Fleet', 'Aaron Hertzmann']",-19.436,Efficient Optimization for Sparse Gaussian Process Regression
123,"[{'AfId': 66946132, 'AuN': 'vietan nguyen', 'AfN': 'university of maryland college park', 'AuId': 2123531380}, {'AfId': 66946132, 'AuN': 'jordan l boydgraber', 'AfN': 'university of maryland college park', 'AuId': 337671685}, {'AfId': 66946132, 'AuN': 'philip resnik', 'AfN': 'university of maryland college park', 'AuId': 574844396}]",29,2152677317,lexical and hierarchical topic regression,2013,"['Viet-An Nguyen', 'Jordan L. Boyd-Graber', 'Philip Resnik']",-19.677,Lexical and Hierarchical Topic Regression
124,"[{'AfId': 87216513, 'AuN': 'mehrdad mahdavi', 'AfN': 'michigan state university', 'AuId': 2147539308}, {'AfId': 126307644, 'AuN': 'tianbao yang', 'AfN': 'university of iowa', 'AuId': 2151859571}, {'AfId': 87216513, 'AuN': 'rong jin', 'AfN': 'michigan state university', 'AuId': 2142724104}]",6,2160374150,stochastic convex optimization with multiple objectives,2013,"['Mehrdad Mahdavi', 'Tianbao Yang', 'Rong Jin']",-20.793,Stochastic Convex Optimization with Multiple  Objectives
125,"[{'AfId': 40120149, 'AuN': 'dino sejdinovic', 'AfN': 'university of oxford', 'AuId': 328063234}, {'AfId': 45129253, 'AuN': 'arthur gretton', 'AfN': 'university college london', 'AuId': 2468960519}, {'AfId': 909854389, 'AuN': 'wicher bergsma', 'AfN': 'london school of economics and political science', 'AuId': 2093908315}]",9,2098199599,a kernel test for three variable interactions,2013,"['Dino Sejdinovic', 'Arthur Gretton', 'Wicher Bergsma']",-20.787,A Kernel Test for Three-Variable Interactions
126,"[{'AfId': 27804330, 'AuN': 'michael c hughes', 'AfN': 'brown university', 'AuId': 2107595349}, {'AfId': 27804330, 'AuN': 'erik b sudderth', 'AfN': 'brown university', 'AuId': 198699297}]",27,2131593562,memoized online variational inference for dirichlet process mixture models,2013,"['Michael C. Hughes', 'Erik Sudderth']",-19.694,Memoized Online Variational Inference for Dirichlet Process Mixture Models
127,"[{'AfId': 170897317, 'AuN': 'liming wang', 'AfN': 'duke university', 'AuId': 2426065067}, {'AfId': 170897317, 'AuN': 'david e carlson', 'AfN': 'duke university', 'AuId': 2179471526}, {'AfId': 45129253, 'AuN': 'miguel r d rodrigues', 'AfN': 'university college london', 'AuId': 2101516921}, {'AfId': 219193219, 'AuN': 'david s wilcox', 'AfN': 'purdue university', 'AuId': 2141980592}, {'AfId': 170897317, 'AuN': 'a robert calderbank', 'AfN': 'duke university', 'AuId': 2120868460}, {'AfId': 170897317, 'AuN': 'lawrence carin', 'AfN': 'duke university', 'AuId': 657437189}]",15,2140664634,designed measurements for vector count data,2013,"['Liming Wang', 'David E. Carlson', 'Miguel Rodrigues', 'David Wilcox', 'Robert Calderbank', 'Lawrence Carin']",-20.478,Designed Measurements for Vector Count Data
128,"[{'AfId': 84392919, 'AuN': 'yuhong guo', 'AfN': 'temple university', 'AuId': 2256485367}]",1,2125092888,robust transfer principal component analysis with rank constraints,2013,['Yuhong Guo'],-21.552,Robust Transfer Principal Component Analysis with Rank Constraints
129,"[{'AfId': 189158943, 'AuN': 'nicolo cesabianchi', 'AfN': 'university of milan', 'AuId': 259249205}, {'AfId': 1290206253, 'AuN': 'ofer dekel', 'AfN': 'microsoft', 'AuId': 2086475204}, {'AfId': 1290206253, 'AuN': 'ohad shamir', 'AfN': 'microsoft', 'AuId': 2073631992}]",19,2101177173,online learning with switching costs and other adaptive adversaries,2013,"['Nicolò Cesa-Bianchi', 'Ofer Dekel', 'Ohad Shamir']",-20.134,Online Learning with Switching Costs and Other Adaptive Adversaries
130,"[{'AfId': 79576946, 'AuN': 'kareem amin', 'AfN': 'university of pennsylvania', 'AuId': 2130561162}, {'AfId': 1291425158, 'AuN': 'afshin rostamizadeh', 'AfN': 'google', 'AuId': 2778935204}, {'AfId': 1291425158, 'AuN': 'umar syed', 'AfN': 'google', 'AuId': 1985611198}]",27,2102588075,learning prices for repeated auctions with strategic buyers,2013,"['Kareem Amin', 'Afshin Rostamizadeh', 'Umar Syed']",-19.855,Learning Prices for Repeated Auctions with Strategic Buyers
131,"[{'AfId': 137902535, 'AuN': 'a ben hamza', 'AfN': 'north carolina state university', 'AuId': 2174370829}, {'AfId': 137902535, 'AuN': 'hamid krim', 'AfN': 'north carolina state university', 'AuId': 2136063657}]",96,2100510758,geodesic object representation and recognition,2003,"['Miaomiao Zhang', 'Tom Fletcher']",-19.862,Probabilistic Principal Geodesic Analysis
132,"[{'AfId': 97018004, 'AuN': 'adel javanmard', 'AfN': 'stanford university', 'AuId': 1838844815}, {'AfId': 97018004, 'AuN': 'andrea montanari', 'AfN': 'stanford university', 'AuId': 2338117446}]",3,2108562800,confidence intervals and hypothesis testing for high dimensional statistical models,2013,"['Adel Javanmard', 'Andrea Montanari']",-20.842,Confidence Intervals and Hypothesis Testing for High-Dimensional Statistical Models
133,"[{'AfId': 86519309, 'AuN': 'nagarajan natarajan', 'AfN': 'university of texas at austin', 'AuId': 2417153716}, {'AfId': 86519309, 'AuN': 'inderjit s dhillon', 'AfN': 'university of texas at austin', 'AuId': 2033403132}, {'AfId': 86519309, 'AuN': 'pradeep ravikumar', 'AfN': 'university of texas at austin', 'AuId': 2409260842}, {'AfId': 27837315, 'AuN': 'ambuj tewari', 'AfN': 'university of michigan', 'AuId': 2099647344}]",201,2113290770,learning with noisy labels,2013,"['Nagarajan Natarajan', 'Inderjit S. Dhillon', 'Pradeep K. Ravikumar', 'Ambuj Tewari']",-18.377,Learning with Noisy Labels
134,"[{'AfId': 74973139, 'AuN': 'erich kummerfeld', 'AfN': 'carnegie mellon university', 'AuId': 148844932}, {'AfId': 74973139, 'AuN': 'david danks', 'AfN': 'carnegie mellon university', 'AuId': 2135705967}]",5,2122738254,tracking time varying graphical structure,2013,"['Erich Kummerfeld', 'David Danks']",-20.906,Tracking Time-varying Graphical Structure
135,"[{'AfId': 184597095, 'AuN': 'kohei hayashi', 'AfN': 'national institute of informatics', 'AuId': 2602971880}, {'AfId': 74801974, 'AuN': 'ryohei fujimaki', 'AfN': 'university of tokyo', 'AuId': 2305868325}]",9,2170139541,factorized asymptotic bayesian inference for latent feature models,2013,"['Kohei Hayashi', 'Ryohei Fujimaki']",-20.515,Factorized Asymptotic Bayesian Inference for Latent Feature Models
136,"[{'AfId': 74973139, 'AuN': 'qirong ho', 'AfN': 'carnegie mellon university', 'AuId': 2171689288}, {'AfId': 74973139, 'AuN': 'james cipar', 'AfN': 'carnegie mellon university', 'AuId': 2130378856}, {'AfId': 74973139, 'AuN': 'henggang cui', 'AfN': 'carnegie mellon university', 'AuId': 2148061370}, {'AfId': 74973139, 'AuN': 'seunghak lee', 'AfN': 'carnegie mellon university', 'AuId': 2115333817}, {'AfId': 74973139, 'AuN': 'jin kyu kim', 'AfN': 'carnegie mellon university', 'AuId': 2308163177}, {'AfId': 74973139, 'AuN': 'phillip b gibbons', 'AfN': 'carnegie mellon university', 'AuId': 2144092273}, {'AfId': 74973139, 'AuN': 'garth a gibson', 'AfN': 'carnegie mellon university', 'AuId': 2235094860}, {'AfId': 74973139, 'AuN': 'gregory r ganger', 'AfN': 'carnegie mellon university', 'AuId': 2791808}, {'AfId': 1343180700, 'AuN': 'eric p xing', 'AfN': 'intel', 'AuId': 351197510}]",226,2132737349,more effective distributed ml via a stale synchronous parallel parameter server,2013,"['Qirong Ho', 'James Cipar', 'Henggang Cui', 'Seunghak Lee', 'Jin Kyu Kim', 'Phillip B. Gibbons', 'Garth A. Gibson', 'Greg Ganger', 'Eric P. Xing']",-18.069,More Effective Distributed ML via a Stale Synchronous Parallel Parameter Server
137,"[{'AfId': 135310074, 'AuN': 'jie liu', 'AfN': 'university of wisconsin madison', 'AuId': 2607770848}, {'AfId': 135310074, 'AuN': 'david c page', 'AfN': 'university of wisconsin madison', 'AuId': 1975712082}]",2,2130045679,bayesian estimation of latently grouped parameters in undirected graphical models,2013,"['Jie Liu', 'David Page']",-20.57,Bayesian Estimation of Latently-grouped Parameters in Undirected Graphical Models
138,"[{'AfId': 154425047, 'AuN': 'navid zolghadr', 'AfN': 'university of alberta', 'AuId': 954302716}, {'AfId': 35440088, 'AuN': 'gabor bartok', 'AfN': 'eth zurich', 'AuId': 1977830135}, {'AfId': 154425047, 'AuN': 'russell greiner', 'AfN': 'university of alberta', 'AuId': 2019637813}, {'AfId': 154425047, 'AuN': 'andras gyorgy', 'AfN': 'university of alberta', 'AuId': 2160942610}, {'AfId': 154425047, 'AuN': 'csaba szepesvari', 'AfN': 'university of alberta', 'AuId': 158112612}]",12,2134625044,online learning with costly features and labels,2013,"['Navid Zolghadr', 'Gabor Bartok', 'Russell Greiner', 'András György', 'Csaba Szepesvari']",-20.023,Online Learning with Costly Features and Labels
139,"[{'AfId': 78577930, 'AuN': 'eftychios a pnevmatikakis', 'AfN': 'columbia university', 'AuId': 1569968817}, {'AfId': 78577930, 'AuN': 'liam paninski', 'AfN': 'columbia university', 'AuId': 2260954076}]",18,2132067227,sparse nonnegative deconvolution for compressive calcium imaging algorithms and phase transitions,2013,"['Eftychios A. Pnevmatikakis', 'Liam Paninski']",-19.911,Sparse nonnegative deconvolution for compressive calcium imaging: algorithms and phase transitions
140,"[{'AfId': 84392919, 'AuN': 'min xiao', 'AfN': 'temple university', 'AuId': 2145269317}, {'AfId': 84392919, 'AuN': 'yuhong guo', 'AfN': 'temple university', 'AuId': 2256485367}]",16,2125666396,a novel two step method for cross language representation learning,2013,"['Min Xiao', 'Yuhong Guo']",-20.42,A Novel Two-Step Method for Cross Language Representation Learning
141,"[{'AfId': 91203450, 'AuN': 'tamir hazan', 'AfN': 'university of haifa', 'AuId': 2142241828}, {'AfId': 24603500, 'AuN': 'subhransu maji', 'AfN': 'university of massachusetts amherst', 'AuId': 2681328136}, {'AfId': 63966007, 'AuN': 'tommi s jaakkola', 'AfN': 'massachusetts institute of technology', 'AuId': 340253981}]",24,2118853346,on sampling from the gibbs distribution with random maximum a posteriori perturbations,2013,"['Tamir Hazan', 'Subhransu Maji', 'Tommi Jaakkola']",-19.821,On Sampling from the Gibbs Distribution with Random Maximum A-Posteriori Perturbations
142,"[{'AfId': 161318765, 'AuN': 'karthika mohan', 'AfN': 'university of california los angeles', 'AuId': 2118294757}, {'AfId': 161318765, 'AuN': 'judea pearl', 'AfN': 'university of california los angeles', 'AuId': 2248165042}, {'AfId': 173911158, 'AuN': 'jin tian', 'AfN': 'iowa state university', 'AuId': 2283469157}]",28,2158492410,graphical models for inference with missing data,2013,"['Karthika Mohan', 'Judea Pearl', 'Jin Tian']",-19.371,Graphical Models for Inference with Missing Data
143,"[{'AfId': 1174212, 'AuN': 'boqing gong', 'AfN': 'university of southern california', 'AuId': 2674296778}, {'AfId': 86519309, 'AuN': 'kristen grauman', 'AfN': 'university of texas at austin', 'AuId': 2239304286}, {'AfId': 1174212, 'AuN': 'fei sha', 'AfN': 'university of southern california', 'AuId': 2050254073}]",69,2157989183,reshaping visual datasets for domain adaptation,2013,"['Boqing Gong', 'Kristen Grauman', 'Fei Sha']",-19.454,Reshaping Visual Datasets for Domain Adaptation
144,"[{'AfId': 130701444, 'AuN': 'mariaflorina balcan', 'AfN': 'georgia institute of technology', 'AuId': 2169342471}, {'AfId': 1341412227, 'AuN': 'vitaly feldman', 'AfN': 'ibm', 'AuId': 2171539438}]",12,2101164044,statistical active learning algorithms,2013,"['Maria-Florina F. Balcan', 'Vitaly Feldman']",-20.533,Statistical Active Learning Algorithms
145,"[{'AfId': 78577930, 'AuN': 'benjamin shababo', 'AfN': 'columbia university', 'AuId': 2249274865}, {'AfId': 40120149, 'AuN': 'brooks paige', 'AfN': 'university of oxford', 'AuId': 2015578526}, {'AfId': 78577930, 'AuN': 'ari pakman', 'AfN': 'columbia university', 'AuId': 69266693}, {'AfId': 78577930, 'AuN': 'liam paninski', 'AfN': 'columbia university', 'AuId': 2260954076}]",12,2101918431,bayesian inference and online experimental design for mapping neural microcircuits,2013,"['Ben Shababo', 'Brooks Paige', 'Ari Pakman', 'Liam Paninski']",-20.459,Bayesian Inference and Online Experimental Design for Mapping Neural Microcircuits
146,"[{'AfId': 95457486, 'AuN': 'stefanie jegelka', 'AfN': 'university of california berkeley', 'AuId': 1987539784}, {'AfId': 29607241, 'AuN': 'francis r bach', 'AfN': 'ecole normale superieure', 'AuId': 2121310506}, {'AfId': 149899117, 'AuN': 'suvrit sra', 'AfN': 'max planck society', 'AuId': 2469620852}]",36,2134220221,reflection methods for user friendly submodular optimization,2013,"['Stefanie Jegelka', 'Francis Bach', 'Suvrit Sra']",-19.718,Reflection methods for user-friendly submodular optimization
